Model,Simulator
-2.8743439096051664,-0.23518773789697256
-3.892966575165935,-0.6488605920936708
-2.3083719052387695,-0.07690499917893112
-4.020262659829568,-0.7848032189186254
-1.946197371706947,-0.1607118731032483
-3.791382969140851,-0.6906397781693185
-2.3636614641362965,-0.04057535972732096
-4.352697930726449,-0.8592613452093152
-1.225409761425313,-0.026815777984895317
-3.9293814994721648,-0.7478771753184389
-3.1338198697666617,-0.24017320802761655
-3.827285571792981,0
-3.1070239437543976,-0.292679862487774
-4.287326650086932,0
-2.4841537442356065,-0.049717934149929754
-3.8939791248624505,-0.4819547655008223
-3.310625701762609,-0.4820558661253532
-4.153225095011178,-0.8137985029797455
-1.707064355505552,-0.0263716438094731
-3.9255070534068617,0
-2.598925885412104,-0.36037685723911994
-4.313991141385442,-0.5493261038562525
-4.158798546509332,-0.4774008311133605
-3.7589685660433987,-0.9539708977385907
-3.759614136658451,0
-4.336119457353286,-0.473391895394641
-2.6170034504392534,-0.10472832592266401
-3.907793075383151,-0.7383598402641189
-2.145729301036053,-0.02673608580037734
-3.949534415303269,0
-2.096774645901689,-0.09941231383159344
-4.081165021410862,0
-2.0158712298215553,-0.026379226029987435
-4.738157005536349,-0.7863955430404027
-2.2190792499597274,-0.02637370092867608
-3.914831962895906,-0.975139561711555
-1.752894603588606,-0.026417816047965115
-3.954009183694918,-0.7918282356835673
-2.9213818417663933,-0.11689595911246509
-4.2717231159654325,0
-1.6864556743111532,-0.06359497913014867
-3.807526635816079,-0.869329980328945
-2.9708442525859255,0
-3.9630537991737014,0
-3.059684115665371,0
-3.985635799267856,-0.7147614745929531
-2.9619786795985723,-0.13803257828307292
-3.7849086409911457,-0.6385450493340153
-5.789378638323593e-13,-0.4151890589696401
-3.8680946412972843,-0.7415184194983823
-2.35881572889988,-0.12059272690029954
-3.8172849407914344,-0.8187211761877483
-1.8808234378870343,-0.026374195127259026
-4.260217387343164,-0.7325354691635485
-2.234465673599357,-0.026706530148976948
-4.28637686445232,0
-2.4915659002263535,-0.24331974585350202
-3.877249804874026,-0.5111417243058771
-2.2070814553108473,-0.08637663805773077
-4.048165386985229,-0.5335298503455959
-2.4802526495577095,-0.026427304112302652
-4.420657552534102,-0.43111759644782544
-2.567237507841461,-0.07943728001903938
-3.744932478407104,-0.6751605609130258
-2.169139678976776,0
-4.438569396332131,-0.6770439812628894
-3.3920204533093705,-0.8375417657217366
-3.898253602649924,-0.6598590213028435
-2.0616266050367424,-0.06287883795318117
-3.812413028658814,-0.7584098780899425
-2.382790496066298,-0.034678699032451465
-4.251080332853669,-0.45259881449696837
-2.75907037025996,-0.21281926313182165
-3.7709661892965887,-0.5777406501905471
-3.3098491446079406,-0.31560615584000806
-3.7598122593434544,-0.635787075001699
-2.761238703123382,-0.06712470800179215
-3.9382363922332844,-0.3147012995108225
-2.7750584970105976,-0.436419605758238
-4.499254151854763,-0.6122095919638191
-2.3417337103997156,-0.37111238723266426
-4.127029878371107,-0.811485154505732
-2.7831914754204807,0
-4.019715439786411,0
-2.931780014325484,-0.041242526668951784
-3.8472873015651254,-0.5638472953901742
-2.7271747662079306,-0.3344623271059003
-4.218493829383665,-0.5416154290786153
-3.51296937455443,-0.6807698624774154
-4.712426306730666,-0.862029781242567
-1.545978271821579,-0.026383404532105637
-3.7300884121195983,-0.9729500884600466
-4.477229513988732,0
-3.867746064875818,-0.966345338776865
-2.239033893464348,-0.5826515055328106
-3.9395664019456644,0
-2.3283888881167054,-0.02636785807386377
-3.905386142543992,-0.958926923980814
-3.2389178019149196,0
-3.7934945323750475,-0.5113514903592347
-4.259985607163555,-0.44149399118650023
-3.85360867705283,0
-2.7543508018744762,-0.14034041015242493
-3.851789611755291,0
-3.0553875431716473,-0.05593972131510416
-3.998785080073339,0
-2.59482337542081,-0.09999086861907414
-4.188315013586527,-0.8427152609325115
-2.47802238666373,-0.17510468650505384
-3.825950611648583,0
-3.0638448324917014,-0.7619028219361177
-4.1523516849571545,-0.9743898248056042
-2.873990329198056,0
-3.746402836258646,-0.587845669850492
-3.5384413007019893,-0.5060342757533164
-4.270270308827162,-0.6164614249208451
-2.7058031594578003,-0.030697595062084693
-3.800924626987598,-0.845682986868421
-2.4013051310728235,-0.038830502260607025
-3.769611231169781,-0.9762961561851062
-2.9200326360645126,-0.9763587935789443
-3.853899356388722,-0.9671990843563176
-2.853682481737122,-0.5847383032853088
-3.9648009616632542,0
-4.2308227893830255,-0.41149014039836007
-3.7830154420062807,-0.6618453450620392
-3.206629172468125,0
-3.7557198501836893,-0.8071519360199418
-2.202791911142429,-0.026386392901475042
-4.213302313337254,0
-2.2729866823286575,-0.05121261976971325
-3.707382132692515,-0.5105804503899727
-3.550621130115892,-0.8168079083725172
-3.7093394856216233,-0.5465583394649436
-2.302855795949563,-0.026483477337836403
-3.8693208682577542,-0.7954421667550203
-2.2555156255229147,-0.20708669982948869
-4.206541195778165,-0.8968667186741688
-1.380612737583001,-0.42579414937480764
-4.315390075799927,-0.7268475852240635
-3.2224594711460055,-0.5509569148652224
-3.749867415075652,-0.9646260134321318
-2.4873031263581495,-0.2179384119138249
-3.78130567076676,-0.9692801134940823
-2.6890981780733543,-0.15477253460094753
-3.749270800581149,-0.9066819033070931
-1.7088840573825823,-0.12190405299515195
-3.7200302132072722,-0.5929398843760862
-3.855747663205843,-0.687632417619624
-4.1147186805245175,-0.5954662032084044
-2.2386501340630596,-0.13110130961770772
-4.488013480349623,-0.6893931163217208
-1.4087786536689897,-0.026760405024445544
-3.8365172247571957,-0.770417991938391
-2.082765941529593,-0.026379235392219313
-3.974654657790377,-0.8187418215568794
-2.579736388933451,-0.05161004695568139
-5.043898401328346,-0.5744743322539257
