steps,run0,run1,run2,run3,run4
4096,70.49356842,67.59160614,76.29629517,78.39561462,67.53057098
8192,78.1734314,68.82003021,67.39785004,65.28132629,65.35930634
12288,74.72519684,74.84683228,85.19078827,68.13951874,61.62482834
14336,84.14044189,62.29214096,90.03762817,71.51506042,65.16681671
18432,69.78269196,76.10591888,82.44116211,75.10710144,66.01496887
22528,74.34482574,66.18506622,69.1339035,64.66891479,78.33976746
24576,81.4535141,79.31285858,86.66596222,106.2783432,67.5280304
26624,66.25746918,70.42737579,74.69400787,92.60045624,73.5949173
28672,73.65614319,71.33374786,75.22633362,75.82378387,65.77116394
30720,72.39055634,67.06520844,77.45101166,75.43965912,66.17990112
32768,65.88401031,69.69594574,71.59705353,81.21099091,71.09382629
34816,76.63903046,95.20670319,74.71954346,83.26559448,64.83272552
36864,75.8368454,79.96348572,75.87657166,104.0100098,76.81406403
38912,66.64715576,80.24193573,81.05421448,103.9371643,76.46761322
40960,72.52732086,93.00397491,81.01436615,95.6160202,67.55263519
43008,85.17544556,122.4596176,86.34202576,81.29338074,74.24766541
47104,76.24200439,108.4586639,83.97360992,83.38692474,73.61423492
51200,74.57539368,84.39159393,82.45469666,87.5504303,76.56760406
53248,82.4726944,81.78757477,104.7613831,91.70962524,83.9852829
63488,94.38872528,106.1351013,85.15052795,88.81282043,132.3719788
65536,86.24510193,112.6780777,84.53128052,76.43920135,123.4661179
67584,88.01663208,106.6588211,93.9697876,85.55775452,99.00741577
69632,99.44754028,97.31957245,99.05831909,81.14461517,84.69016266
71680,101.878418,79.71927643,92.48352814,79.73941803,96.40596008
75776,98.45622253,112.7034378,109.0407028,88.90098572,90.52406311
81920,80.19897461,85.32901001,94.91937256,102.8056107,107.7744446
83968,86.25791931,98.33558655,90.27946472,89.76763153,101.6322632
88064,92.9438858,91.91080475,82.91559601,104.2724915,109.5340042
90112,102.1435013,90.27619171,89.21947479,123.6617279,111.1680145
92160,103.409317,87.08295441,104.0153275,85.5588913,86.49672699
94208,96.46442413,114.5164871,113.8703842,111.3585052,88.89041138
98304,109.3798904,107.441597,134.383255,99.16420746,104.5484161
102400,99.0957489,113.889183,117.0275345,118.2926483,99.6714325
104448,97.48423767,110.6592407,135.4326782,101.3494568,118.8468552
110592,105.0450211,113.1507874,97.47838593,132.6953125,103.6248932
112640,108.5394363,115.1998749,92.80953979,111.9339447,81.17462158
114688,101.5841522,137.7910156,107.1474304,107.1652451,101.3164673
116736,102.5016632,126.8822403,115.9746094,98.3637085,107.600235
118784,105.830452,122.2297592,106.192337,112.3675537,91.53383636
124928,104.2801285,132.0789948,97.30705261,106.2184296,113.2211456
126976,106.0566864,97.15126801,115.8319244,119.942482,101.4634476
129024,112.7247238,113.2741699,119.503685,118.40271,93.60284424
131072,113.1334229,116.7145538,103.7061844,115.7641296,110.9625244
133120,113.1608047,115.0306015,108.2636566,113.8830643,128.0115967
135168,142.1332245,103.7698212,125.1150742,108.1236343,104.4084015
137216,140.4459991,100.7472229,136.7414703,118.6887512,110.6906967
139264,111.0055237,113.8506699,108.6650391,117.7540817,117.6845093
141312,107.8810654,114.4583435,92.84877014,136.0553741,111.6497879
143360,118.9470291,133.5090027,125.3468018,127.7587738,105.0068359
147456,122.3979492,97.53218079,134.7043152,108.9013367,93.62017822
149504,106.5987625,102.4466324,127.8228149,107.8783798,110.2395935
151552,122.2861328,129.2804108,120.2724686,114.3580093,99.57209778
153600,115.7695694,142.9843445,146.5325165,102.785614,106.6685028
157696,104.7678909,116.2829971,121.775795,104.2816696,97.54428101
161792,101.9202652,96.97093964,121.7756805,118.9584732,129.2628784
163840,121.8442535,91.4914856,99.2335434,109.7260513,121.9873505
167936,102.2828217,126.4845963,116.597496,103.2541351,128.6855469
169984,91.19200134,104.3915863,93.81318665,124.3390198,123.9070358
174080,114.5460815,99.91470337,129.0287781,105.5024719,110.427597
176128,129.0935669,111.274025,99.77496338,105.1922836,118.0973206
178176,108.9032059,124.0818176,115.8468246,123.4328156,128.5353394
180224,116.0605927,128.5885925,107.01297,109.2307281,132.3286285
182272,108.604187,131.5923309,126.2330322,112.7001801,118.3319778
184320,94.74037933,120.2018356,112.5555573,115.5451431,104.3304596
188416,127.9291382,117.9477615,112.7696838,109.1544952,114.0908737
190464,102.4569778,152.953186,116.2761765,122.6437073,108.0519562
192512,123.5265656,143.7615814,132.521347,104.5025787,116.8291931
194560,109.4187927,103.4423828,136.1155243,116.1745834,124.7943115
204800,123.0308075,119.5838242,127.3551712,142.8085022,117.8686981
206848,120.0207596,123.5961609,127.2109222,148.573822,113.4362869
210944,117.2578659,106.7852783,111.8484268,109.2045593,120.0775757
215040,117.9199295,130.6181793,103.3459702,150.168869,108.4805603
217088,107.7969666,128.0024414,100.6249313,127.9751205,107.1673279
219136,122.3243866,126.7323151,107.7310486,115.755661,137.3759155
225280,108.4576492,101.8596115,117.5565491,121.8572617,132.4305878
227328,117.636467,116.5783539,133.1569061,104.6803894,106.0548477
233472,115.9622955,98.42920685,134.91922,122.5775375,98.03622437
239616,118.4053116,108.3503418,139.5906677,125.8274231,117.1455841
243712,120.8991165,126.1355591,123.7529755,108.8849487,105.7570496
245760,156.9334717,126.1077042,139.3621826,108.0579987,120.7712555
247808,122.4548645,112.8215485,124.5385666,119.1480255,122.9684753
256000,120.2405243,106.6805649,114.5750961,108.3729248,124.2721481
258048,131.1959229,145.0796204,129.9207001,119.0419083,100.0228577
260096,141.9849854,135.051651,125.6164398,115.0155945,115.4912033
262144,115.7547226,154.1922302,145.4850006,143.2426758,134.0709686
266240,131.0776367,125.6142883,148.0783539,158.2113953,141.8774414
268288,153.6268921,122.3583221,127.1061096,116.1967316,134.094696
274432,158.77034,132.7473755,112.6185913,145.0492554,129.9636993
280576,118.162674,122.9158478,124.2073441,148.1400757,114.2303391
282624,130.0123291,130.5316772,140.1042938,155.1056061,119.684021
286720,124.1834793,128.5567322,136.9195404,128.6508942,128.1033936
290816,135.922348,136.3149109,125.7474213,114.8229752,125.458168
292864,159.477356,112.6342087,146.9889221,134.4883423,134.723587
294912,154.4983368,118.8308258,143.1511993,172.7957001,148.0088959
296960,138.1051636,125.2359085,144.575592,147.802597,137.3643951
299008,139.0991821,129.3170471,130.5209656,135.8135376,116.2579041
301056,133.9407806,124.9099121,149.8495789,129.6714783,120.574585
305152,128.1030426,122.6935959,144.2997589,135.0263367,127.3603058
307200,128.1904144,109.7234268,147.41539,146.4997864,106.7062454
309248,147.7383881,127.8570862,152.8890991,124.3311234,111.5012665
311296,151.8926392,122.038765,148.8585968,130.4489136,122.8972626
315392,149.5919952,135.5337524,149.735321,145.4713287,111.8366318
317440,144.8325195,133.2846527,132.0955048,147.7191772,115.8052902
319488,151.8932343,137.6516418,144.2355499,161.7704926,130.8983612
323584,124.504776,108.7356873,115.0205307,140.7338715,110.3609848
325632,128.8250275,115.6944962,137.5760956,148.3800201,107.8292389
327680,116.1484299,126.9035797,176.7973938,139.8739319,115.4671173
331776,146.4936981,127.6369476,153.9429169,142.220108,162.7831268
333824,133.1033783,146.8085785,130.328125,149.1530304,141.9929657
337920,129.6613617,111.7735825,139.2293243,128.9121552,120.7724915
339968,151.2033539,130.5493469,144.6136169,126.0158691,157.1261444
344064,132.7169952,117.5380249,135.8026733,122.1878128,141.8426971
346112,159.0442352,122.788002,135.6012268,152.4758759,139.269455
348160,160.9623413,120.0964279,111.6413574,168.6430054,139.5170441
352256,161.6552887,120.182869,133.0805054,155.6525574,142.8646851
354304,127.1814194,115.9531631,157.644455,152.8087006,143.2039185
360448,130.7224884,135.9341583,146.8898163,134.2932739,138.0639191
362496,142.8184052,123.5846558,149.9073639,133.0014343,155.3215179
364544,141.7159729,146.7828827,133.4396515,154.3004761,123.2236328
366592,143.1929169,166.5421753,128.8366089,141.5284119,129.4001312
370688,143.4016418,124.4883804,139.0231171,129.3819427,138.4311218
372736,166.9159088,144.0962219,133.8961182,143.28508,131.6538391
376832,126.6744308,123.9242096,146.8197327,163.6420135,133.1345367
380928,158.2709045,174.9736938,154.4736176,122.6234207,143.7698975
382976,170.3683929,115.7878647,131.983017,162.7033081,134.8205414
385024,168.7157745,128.4932251,155.791626,172.3614349,150.9551849
387072,130.9541779,130.4478149,136.5948486,162.5643768,137.7367706
391168,161.9767303,134.9797821,126.8168488,143.7219238,136.5070343
393216,157.8686523,130.6465607,170.7357178,168.6733551,147.3849335
399360,156.9320526,147.6385803,138.6832581,171.1328125,125.8870697
407552,151.465683,145.3339081,123.6254959,143.7428131,134.6043549
415744,148.8374023,161.3619995,117.5797501,156.377243,146.588913
421888,143.5434875,145.0132294,179.4149628,142.3529358,150.1614227
423936,177.7918854,133.5362854,149.0183563,143.2234802,134.8581085
425984,160.094574,151.1879425,134.1656342,161.0076141,129.1997833
428032,153.1696167,124.2618942,155.1677094,145.4789429,130.0746307
430080,170.2692108,143.0219727,178.8807831,169.1559448,131.3364258
436224,160.2090912,124.9736252,168.8638611,171.6823883,134.8211212
438272,144.9012299,122.815094,160.3301544,169.2757568,150.9696655
440320,122.4690323,153.3623962,159.9537048,150.6750793,122.541832
442368,133.131897,172.1990356,155.4361725,150.459671,151.6977539
448512,139.0994568,138.9318237,150.5623932,147.0331879,142.921463
450560,136.6120758,145.735611,184.3234711,164.125412,134.4113464
452608,172.2974396,158.5691681,159.2724762,159.7060699,143.4790039
454656,167.1810913,158.5632782,161.9461212,161.6455536,148.5159302
456704,163.8533478,172.1884613,157.8147125,154.0940094,150.5023193
458752,205.5932312,134.5767212,181.9167786,161.2254791,162.516098
462848,143.1147156,160.1100311,163.3655701,160.757019,113.0821762
464896,153.2265167,147.369873,148.586853,131.3557587,148.8214417
466944,156.6876678,143.8657379,156.5891724,152.0805664,154.7712097
471040,161.0884399,143.1657562,141.4565582,162.4000854,149.6962585
473088,147.3327179,157.8651581,172.1169739,158.8440399,160.9867859
475136,152.1250763,149.8197174,139.3546143,154.791687,145.3953857
477184,145.4398956,168.0221252,139.484375,203.4038086,143.1327667
479232,147.1218262,160.4446869,161.1712799,191.4793701,121.4393997
481280,179.1242828,143.1552734,142.9972229,152.068222,120.570961
487424,173.4267883,163.6589966,173.0089111,164.5685272,151.513855
489472,163.2908478,162.6053925,152.2298889,176.3257904,154.0845642
493568,187.6798248,136.2480316,200.463028,178.5901947,138.6626129
501760,167.199234,166.4369659,155.0953979,164.6941071,147.8363953
503808,234.4311218,154.5821075,157.4864502,182.3669281,162.0880737
507904,153.1460724,194.3713989,148.5046997,171.5736847,136.9792023
509952,155.7436981,159.1005402,130.6033783,164.1492462,144.2619476
512000,176.135498,142.4998169,163.6305847,167.3288116,160.7147827
514048,177.4217072,176.6950226,156.2048035,173.3000336,141.237793
516096,185.5704956,188.2209167,173.2835083,182.7811127,144.6317596
518144,165.9722748,139.5374756,187.9626923,193.9019318,131.5995026
524288,154.309845,133.7729492,157.8644867,173.0145416,128.9777374
530432,153.1720276,144.0396118,187.2845459,176.6366882,164.3154602
532480,169.6092529,180.8075256,151.4831848,160.5243988,155.092514
534528,126.9462585,195.0338135,155.7511139,156.3267212,147.9680634
536576,177.2289276,150.3075714,162.5641479,178.0606079,154.5019226
540672,165.1613617,171.3228302,179.5992432,179.524704,136.4287567
544768,181.8650818,175.2882538,156.598175,191.7238617,164.9864044
548864,144.1843262,149.6968994,171.3922882,158.1135864,164.7079773
